,MARITAL_STATUS,EDUCATION_LEVEL,RESIDENTAL_STATUS,LOAN_AMOUNT,INCOME,GENDER,NUMBER_OF_PRIOR_LOANS,AGE,TENURE,PRESENT_EMPLOYMENT_SINCE,FAMILY_SIZE,OCCUPATION
84360,Married,Master's Degree,Tenant,20000.0,2750.0,Female,3.0,36.0,13.0,More Than Seven Years,3.0,Professional
12884,Married,Bachelor's Degree,Owner,95000.0,5250.0,Female,1.0,45.0,14.0,Less Than One Year,3.0,Professional
15401,Married,Primary School Grad,Tenant,20000.0,500.0,Male,1.0,51.0,27.0,Unemployed,4.0,Farmer
31113,Married,Bachelor's Degree,Owner,30000.0,6250.0,Male,0.0,66.0,2.0,More Than Seven Years,2.0,Manager
47078,Single,Doctorate Degree,Tenant,15000.0,3750.0,Female,3.0,28.0,17.0,More Than Seven Years,2.0,Manager
56866,Single,Bachelor's Degree,Tenant,35000.0,2150.0,Female,0.0,36.0,2.0,More Than Seven Years,4.0,Farmer
18976,Married,Bachelor's Degree,Tenant,45000.0,6250.0,Female,0.0,28.0,24.0,Unemployed,7.0,Professional
6849,Single,Bachelor's Degree,Owner,35000.0,4250.0,Male,0.0,70.0,2.0,Less Than Seven Years,2.0,Professional
57175,Married,Bachelor's Degree,Owner,25000.0,6250.0,Female,2.0,47.0,74.0,Less Than Seven Years,5.0,Manager
60156,Married,Primary School Grad,Family Home,100000.0,500.0,Male,2.0,44.0,8.0,Less Than One Year,4.0,Technician
